id,name,energy_kcal_per_100g,unit,serving_size,gtin13,image_url,product_url,source,created_at
54,soy sauce,40,g,15,,https://lokcal.app/images/54_soy_sauce.jpg,,nevo,
55,ricotta cheese,141,g,30,,https://lokcal.app/images/55_ricotta_cheese.jpg,,nevo,
56,candy mix,328,g,40,,https://lokcal.app/images/56_candy_mix.jpg,,nevo,
57,light dairy spread,175,g,10,,https://lokcal.app/images/57_light_dairy_spread.jpg,,nevo,
58,tomato ketchup,77,g,15,,https://lokcal.app/images/58_tomato_ketchup.jpg,,nevo,
59,chilli beans,106,g,130,,https://lokcal.app/images/59_chilli_beans.jpg,,nevo,
60,plain cake,396,g,100,,https://lokcal.app/images/60_plain_cake.jpg,,nevo,
61,blackcurrants,53,g,112,,https://lokcal.app/images/61_blackcurrants.jpg,,nevo,
62,salted popcorn,505,g,25,,https://lokcal.app/images/62_salted_popcorn.jpg,,nevo,
63,sweet popcorn,419,g,25,,https://lokcal.app/images/63_sweet_popcorn.jpg,,nevo,
64,beef tomato,19,g,100,,https://lokcal.app/images/64_beef_tomato.jpg,,nevo,
65,pickled atjar tjampoer,42,g,100,,https://lokcal.app/images/65_pickled_atjar_tjampoer.jpg,,nevo,
66,macadamia nuts,753,g,30,,https://lokcal.app/images/66_macadamia_nuts.jpg,,nevo,
67,oil roasted pecans,750,g,30,,https://lokcal.app/images/67_oil_roasted_pecans.jpg,,nevo,
68,cashew nuts,615,g,28,,https://lokcal.app/images/68_cashew_nuts.jpg,,nevo,
69,netted melon,27,g,160,,https://lokcal.app/images/69_netted_melon.jpg,,nevo,
70,gluten free bread,212,g,50,,https://lokcal.app/images/70_gluten_free_bread.jpg,,nevo,
71,jaffa cakes/pim's cake,373,g,25,,https://lokcal.app/images/71_jaffa_cakespims_cake.jpg,,nevo,
72,lamb's lettuce,18,g,100,,https://lokcal.app/images/72_lambs_lettuce.jpg,,nevo,
73,manderins,46,g,84,,https://lokcal.app/images/73_manderins.jpg,,nevo,
75,advocaat liqueur,236,g,30,,https://lokcal.app/images/75_advocaat_liqueur.jpg,,nevo,
76,almond tart,411,g,100,,https://lokcal.app/images/76_almond_tart.jpg,,nevo,
77,almonds,622,g,28,,https://lokcal.app/images/77_almonds.jpg,,nevo,
78,amaranth leaves,56,g,100,,https://lokcal.app/images/78_amaranth_leaves.jpg,,nevo,
79,antroewa,30,g,100,,https://lokcal.app/images/79_antroewa.jpg,,nevo,
80,apple pie,223,g,125,,https://lokcal.app/images/80_apple_pie.jpg,,nevo,
81,apple cake,259,g,125,,https://lokcal.app/images/81_apple_cake.jpg,,nevo,
82,apple fritter,264,g,100,,https://lokcal.app/images/82_apple_fritter.jpg,,nevo,
83,apple strudel,278,g,150,,https://lokcal.app/images/83_apple_strudel.jpg,,nevo,
84,apple syrup,280,g,15,,https://lokcal.app/images/84_apple_syrup.jpg,,nevo,
85,apple turnover,360,g,100,,https://lokcal.app/images/85_apple_turnover.jpg,,nevo,
86,apricots in syrup,69,g,130,,https://lokcal.app/images/86_apricots_in_syrup.jpg,,nevo,
87,baguette,269,g,100,,https://lokcal.app/images/87_baguette.jpg,,nevo,
88,baklava nut-honey cake,461,g,100,,https://lokcal.app/images/88_baklava_nut-honey_cake.jpg,,nevo,
89,bamboo shoots,33,g,70,,https://lokcal.app/images/89_bamboo_shoots.jpg,,nevo,
90,banana,92,g,120,,https://lokcal.app/images/90_banana.jpg,,nevo,
91,banana bread,300,g,100,,https://lokcal.app/images/91_banana_bread.jpg,,nevo,
92,bapao,251,g,100,,https://lokcal.app/images/92_bapao.jpg,,nevo,
93,barbecue sauce,95,g,32,,https://lokcal.app/images/93_barbecue_sauce.jpg,,nevo,
94,bastogne shortbread biscuit,493,g,15,,https://lokcal.app/images/94_bastogne_shortbread_biscuit.jpg,,nevo,
95,bean sprouts,25,g,100,,https://lokcal.app/images/95_bean_sprouts.jpg,,nevo,
96,dried beans,314,g,60,,https://lokcal.app/images/96_dried_beans.jpg,,nevo,
97,beer,44,g,355,,https://lokcal.app/images/97_beer.jpg,,nevo,
98,radler beer,39,g,330,,https://lokcal.app/images/98_radler_beer.jpg,,nevo,
99,beetroot,38,g,100,,https://lokcal.app/images/99_beetroot.jpg,,nevo,
100,beetroot juice,34,g,240,,https://lokcal.app/images/100_beetroot_juice.jpg,,nevo,
101,berliner pastry,289,g,90,,https://lokcal.app/images/101_berliner_pastry.jpg,,nevo,
102,bilberries,30,g,145,,https://lokcal.app/images/102_bilberries.jpg,,nevo,
103,bilberries in syrup,66,g,100,,https://lokcal.app/images/103_bilberries_in_syrup.jpg,,nevo,
104,biscuit,475,g,25,,https://lokcal.app/images/104_biscuit.jpg,,nevo,
105,chocolate coated biscuit,479,g,30,,https://lokcal.app/images/105_chocolate_coated_biscuit.jpg,,nevo,
107,bitterbal from oven,302,g,60,,https://lokcal.app/images/107_bitterbal_from_oven.jpg,,nevo,
108,black beans,113,g,130,,https://lokcal.app/images/108_black_beans.jpg,,nevo,
109,black radish,30,g,100,,https://lokcal.app/images/109_black_radish.jpg,,nevo,
110,danish blue cheese,350,g,100,,https://lokcal.app/images/110_danish_blue_cheese.jpg,,nevo,
111,bluefort cheese,405,g,30,,https://lokcal.app/images/111_bluefort_cheese.jpg,,nevo,
112,bounty candybar,486,g,57,,https://lokcal.app/images/112_bounty_candybar.jpg,,nevo,
113,boursin,411,g,30,,https://lokcal.app/images/113_boursin.jpg,,nevo,
114,brandy,231,g,44,,https://lokcal.app/images/114_brandy.jpg,,nevo,
115,bread crumbs,378,g,30,,https://lokcal.app/images/115_bread_crumbs.jpg,,nevo,
116,breadsticks,401,g,30,,https://lokcal.app/images/116_breadsticks.jpg,,nevo,
117,breezer,74,g,330,,https://lokcal.app/images/117_breezer.jpg,,nevo,
118,brie cheese 50+,318,g,30,,https://lokcal.app/images/118_brie_cheese_50.jpg,,nevo,
119,brioche,338,g,50,,https://lokcal.app/images/119_brioche.jpg,,nevo,
120,broad beans,73,g,100,,https://lokcal.app/images/120_broad_beans.jpg,,nevo,
121,brown bread,236,g,32,,https://lokcal.app/images/121_brown_bread.jpg,,nevo,
122,seeded brown bread,285,g,50,,https://lokcal.app/images/122_seeded_brown_bread.jpg,,nevo,
123,brown lentils,112,g,50,,https://lokcal.app/images/123_brown_lentils.jpg,,nevo,
124,castor brown sugar,396,g,5,,https://lokcal.app/images/124_castor_brown_sugar.jpg,,nevo,
125,brownie,420,g,80,,https://lokcal.app/images/125_brownie.jpg,,nevo,
